,Locations
3015,"ÜT: -1.900612,116.191474"
3016,New Delhi & Mumbai
3017,New Delhi - 15 India
3018,Trichur
3019,Greater noida
3020,Mannuthy
3021,"Gopalganj, Nagpur"
3022,barabanki
3023,"Mettupalayam, Chennai"
3024,"Pondicherry, India"
3025,"Naranya, Pachore, India 465683"
3026,indian occupied kashmir
3027,humanity
3028,"Gurgaon , Haryana "
3029,A tale of many cities.
3030," Lucknow/New Delhi, India"
3031,East Coast of SL
3032,"भारत, India"
3033,"Kalaburgi & Bengaluru, INDIA"
3034,"Deoria, India"
3035,Last seen in Mumbai
3036,"SINSINI, DEEG, BHARATPUR"
3037,"Puducherry, India ."
3038,indore
3039,"Bengaluru , India"
3040,"Jamshedpur, Jharkhand"
3041,secunderabad
3042,"Nashik, India-Pr"
3043,"Mandya, India"
3044,Kolkata / Jaipur / India
3045,Singapore 🏠 | 
3046,"Chennai, Tamilnadu"
3047,"IIT Roorkee, India"
3048,"Dehli, from #Supaul, Bihar"
3049,Nights Watch
3050,EU
3051,"Raipur,Chattisgarh"
3052,"Uttarakhand, India"
3053,Pehli Fursat Mein Follow Karde
3054,"Hajipur, India"
3055,"Panun Kashmir , India"
3056,"India, Pune"
3057,East Champaran
3058,"Ghaziabad, And a proud INDIAN"
3059,MADRAS
3060,"Una, Himachal Pradesh"
3061,Janjgir champa 
3062,Madras (divorced from Delhi)
3063,Somewhere in Universe
3064,சோழதேசம்
3065,Underground
3066,"Australia, New Zealand, USA"
3067,..
3068,Chai ke aas paas
3069,"Bangalore ,India "
3070,Nigeria
3071,Currently on Earth
3072,"Rohtak, India"
3073,bihar india
3074,"Pune, Maharashtra"
3075,London - New York
3076,India (भारत)
3077,"Kurnool, India"
3078,#Bhubaneswar #Odisha #India 
3079,"Goregaon, Mumbai"
3080,Mumbai/Indore.
3081,"India, raipur."
3082,ಸ್ಥಾವರಕ್ಕಳಿವುಂಟು ಜಂಗಮಕ್ಕಳಿವಿಲ್
3083,meerut (U.P.)
3084,"Gandhidham, India"
3085,"ÜT: 28.638433,77.178618"
3086,Lost in haze
3087,Bombaj
3088,"Bikaner, India"
3089,"Gurugram, Mumbai, Jodhpur"
3090,kerala
3091,"Dr. Mukherjee Nagar, New Delhi"
3092,"Houston, TX, USA"
3093,deesa gujarat
3094,Visakhapatnam
3095,raipur
3096,Odisa 
3097,"बिहार, भारत"
3098,"Mumbai, Maharashtra India"
3099,Jeddah Saudi Busniess Center
3100,Kanpur/Mumbai
3101,"Thoothukudi,India"
3102,vizag
3103,"JLN Marg, Jaipur, Rajasthan"
3104,jabalpur
3105,Construction Site
3106,Pune | Dehradun | Mumbai
3107,"कटक, भारत"
3108,"Gwalior, Hyderabad, Bangalore"
3109,"New York, New York"
3110,"Subhash Nagar, New Delhi"
3111,Twitter abyss
3112,Anand
3113,"New Delhi, india "
3114,"Kolkata, India (Calcutta)"
3115,"South Extn, New Delhi"
3116,World heart
3117,Ludhiana
3118,Highgarden 💮 of
3119,"Ghaziabad, UP, India"
3120,(kalinga/utkala/odisha)-Bharat
3121,Kaha Bhi
3122,C-12 Sec 63 Noida #01204542143
3123,"South Mumbai, India"
3124,BOMBAY
3125,United States 
3126,Bhojuveer Varanasi U.P.
3127,Barabanki UP
3128,India-Mumbai
3129,"मुंबई, भारत "
3130,"Bhuj,India"
3131,Manila
3132,New Delhi-Motihari-E.Champaran
3133,Searching a Destination.
3134,"New delhi, INDIA"
3135,nainital india
3136,"Delhi,Meerut"
3137,"PRABHADEVI, MUMBAI"
3138,Wherever I May Roam
3139,Muy MUy Lejano
3140,New Delhi/Gorakhpur/India
3141,The Republic of Offendia
3142,"Jamnagar, Delhi, Gandhinagar"
3143,"A-71. Sector-50, Noida, India"
3144,रामपुर नैकिन जिला सीधी (MP)
3145,"North Block, New Delhi"
3146,Lemuria
3147,"New Delhi & Mumbai, India"
3148,"Noida, Ram Rajya"
3149,new delhi india
3150,Travel Across India & Report
3151,"Mohali, Punjab"
3152,San Junipero
3153,"Kutch, INDIA"
3154,Mohali
3155,Darjeeling
3156,आर्यवर्त
3157,ML88op
3158,"जमशेदपुर, भारत【दिल्ली कार्यरत】"
3159,Land of Hinduism & Vedas
3160,"GZB, NDLS, MZN, INDB"
3161,Ponda Goa
3162,"15 Yemen Road, Yemen"
3163,"Mysuru, Karnataka, India"
3164,PUNE India
3165,Canada / India
3166,Bhaad mein
3167,Why Do You Want
3168,"Bolton,England/Jiangsu,China"
3169,Gauchar
3170,"Delhi, Faridabad, India"
3171,New Delhi. Bhubaneswar. Gaya
3172,"शेखपुरा, भारत"
3173,"Sialkot, Pakistan"
3174,राजस्थान 
3175,Delhi/Punjab/Haryana/West U.P
3176,Bhatia
3177,"Begusarai, Bihar  🔁 New Delhi"
3178,मधुशाला 
3179,West of Westeros
3180,Gurgaon ~ world
3181,Dari Dharmshala ( Kangra ) 
3182,Auckland
3183,"shahdara Delhi, India"
3184,Flight mode
3185,Down 2 Earth
3186,Arriving
3187,Bermuda Triangle 
3188,"*Disclaimer: Has NO relation to Right wing Nonsense, Neither to Left, Top, Center !"
3189,"Surāshtr,Bhārat"
3190,"Wahi jaha koi, aata jata nahi."
3191,NEW INDIA
3192,"Bokajan,karbi anglong. Assam. "
3193,"B-7, Sector-2, Noida, India"
3194,OmniPresent
3195,"DELHI, INDIA"
3196,"Gurgaon , Rohtak"
3197,Suncity  🌄Jodhpur
3198,Tere dil me
3199,"Muscat, Oman"
3200,indore 
3201,Most probably on a Motorcycle
3202,World I own 
3203,Noida india
3204,"Hazaribag , Jharkhand INDIA "
3205,തലസ്ഥാൻ
3206,"Jaipur Rajasthan, India"
3207,haryana india
3208,"Model Town, Delhi "
3209,Uttar Pradesh
3210,"Shillong, India"
3211,Dragonstone
3212,Rohini
3213,Searching...
3214,Navi Mumbai - Bhubaneswar
3215,New York - Delhi
3216,Neptune
3217,"28.448411,77.097108"
3218,वसुधैव कुटुम्बकम
3219,Kolkata | Noida
3220,Delhi|Noida|Patna
3221,Delhi NCR / Jaipur
3222,New Delhi GTB Enclave 
3223,"Silchar, Assam, India     "
3224,ahmedabad gujrat
3225,"Bangalore, India "
3226,from God's toilet
3227,"Patna, India  @akshayarmy4 "
3228,"Belgaum, INDIA"
3229,"Paud, Maharashta"
3230,jaynagar Madhubani INDIA
3231,"सुल्तानपुरी, नई दिल्ली"
3232,Not from Flat Earth
3233,"Lajwana Khurd , Haryana"
3234,"New Delhi,"
3235,दिल_मोहल्ला
3236,N 28°36' 0'' / E 77°5' 0''
3237,"New Delhi, INDIA "
3238,Xberg
3239,"नई दिल्ली, भारत "
3240,Salsette Island
3241,"Ghaziabad,Uttar pardesh"
3242,"Saket, New Delhi"
3243,"Puducherry,India"
3244,"New Delhi, South-Asia"
3245,"Polasara, Odisha, India"
3246,New Delhi / USA(in past )
3247,"Mumbai, INDIA "
3248,Neemuch
3249,"Mumbai, Delhi, Kolkata, India"
3250,"RMD,TN,India"
3251, earth
3252,Union Territory of Jammu
3253,India.Israel
3254,I have always been there!!
3255,Delhi.. Views are personal
3256,"Morena, India"
3257,New Delhi & #Uttarakhand India
3258,"Stuttgart, Deutschland"
3259,New Delhi I Dehradun 
3260,"Mohan Garden, South"
3261,"Bankura,india"
3262,everywhere on globe
3263,"Palampur, India"
3264,delhi india 
3265,Ahmadabad | Mumbai | Indore | 
3266,Switzerland
3267,"BRD medical college ,Gorakhpur"
3268,Different parts of India
3269,Old India 
3270,Allahabad |प्रयागराज|
3271,"Delhi, Mumbai । दिल्ली, मुंबई"
3272,Dilli Villi
3273," PitamPura, Delhi, India"
3274,C -2 Sector 2 Noida 201310
3275,"Arumuganeri,Thiruchendur Taluk,Tuticorin District,Tamilnadu State, India."
3276,"Lajpat Nagar, Delhi, 110024"
3277,Jaipur & Chimney
3278,India / UAE
3279,"JS Arcade, Sector 18, Noida"
3280,"Gurgaon, New Delhi, India"
3281,jaipur 
3282, नई दिल्ली || #लखनऊ
3283,Kutch. INDIA
3284,Inner soul
3285,Delhi | Mumbai 
3286,Bharath
3287,Mahul Azamgarh Uttar Pradesh
3288,irrational dimension
3289,अच्छी बुरी दुनिया 
3290,"Beirut, Lebanon"
3291,Indian Film Fraternity-Mumbai
3292,"Storrs, CT, USA"
3293,Mera Bharat Mahaan 
3294,Magical World
3295,Delhi/San Sebastian 
3296,"Durham, England"
3297,Mangalore
3298,Delhi | Ambala | Chhindwara
3299,"Eastern Hemisphere, South Asia"
3300,Siwan Bihar
3301,Mumbai+Delhi/2
3302,Hyderabad 
3303,"PrayagRaj, Uttar Pradesh, India"
3304,Kunda Pratapgarh 
3305,"Hamburg, Deutschland"
3306,Varanasi/Delhi
3307,"असम,भारत"
3308,"Raipur,Chhattisgarh"
3309,Here 
3310,പാലക്കാട്‌ ആലത്തൂർ
3311,"New Delhi, Delhi, born 1st jan"
3312,"New Delhi, India;Nagpur, India"
3313,"Victoria, British Columbia"
3314,"New delhi, india"
3315,"Lat:35°33'53.8N,Long:45°25'58"
3316,ಅಖಂಡ ಭಾರತ
3317,"New Delhi, LAC"
3318,"Mount Abu, Rajasthan"
3319,Mother Nature
3320,"GuruGram, India"
3321,"Bangali Colony,Burari,Delhi"
3322,couch protestor
3323,SadaChandigarh.NammaBengaluru
3324,MIT Manipal
3325,"uttarakhand, India"
3326,Sacramento CA USA
3327,"Nashik, Maharashtra"
3328,"Chevella, Ranga Reddy District"
3329,GDL
3330,"Gopiballavpur, Kolkata, India"
3331,Dehli 
3332,In nature
3333,+91
3334,Misthaven
3335,"Gurugram, Haryana India"
3336,"दिनकरजी की धरती,बिहार,भारत "
3337,"Bengaluru, India & Beijing,PRC"
3338,"Raipur(CG), INDIA"
3339,Jalandhar
3340,Khan Market world
3341,"Swaroop Nagar, Kanpur, BHARAT"
3342,Kozhikode/Kochi
3343,"Jangpura, New Delhi"
3344,"Gorakhpur, New Delhi, India"
3345,New Delhi and Gwalior
3346,"Vallabh Vidhyanagar , Gujarat"
3347,"New Delhi, India (Gaya, Bihar)"
3348,"Gujrat, india"
3349,8.28 Light-minutes from a star
3350,"Aerocity, New Delhi"
3351,"Chittaurgarh, India"
3352,r-Spore-HK-KL-Bkk
3353,"Mirzapur-Vindhyachal, India"
3354," Angamaly,Ernakulam, Kerala"
3355,Parbhani Maharashtra
3356,Hyderabad-Amaravati
3357, Noida
3358,jamshedpur
3359,"Mumbai, Bharat"
3360,The Republic of India
3361,BR 01
3362,"Pune, Mumbai"
3363,", Greater Noida"
3364,"Bhosari, Pune"
3365,"Kurnool,Anantapur"
3366,India lucknow
3367,d
3368,"surat,india"
3369,अंगारमळा
3370,"Thane West, Thane"
3371,west bengal - Kanpur UP
3372,"Gorakhpur,India"
3373,"Ludhiana, "
3374,"New Delhi, INDIA."
3375,kolkata India 
3376,Delhi/ Bonn/ Tel Aviv
3377,"Gujarat, Hindustan"
3378,"Himachal 2 Punjab, India"
3379,"Gas Chamber, India"
3380,"New Delhi, India/ Muzaffarpur"
3381,aapke dil mein 
3382,"E-31, South Ex Delhi, India"
3383,Sasaram 
3384,"Imphal, Manipur."
3385,Redemption Land
3386,Scranton
3387,"संगम 🌅 सिटी,प्"
3388,Sydney
3389,"B-85, Noida Sector 64"
3390,"Indore ,Madhya Pradesh"
3391,69 Regal Connaught Place
3392,Najafgarh
3393,"india ,chennai"
3394,"Nangloi, Delhi"
3395,India (New Delhi)
3396,Hyderabad.. Telangana .. india
3397,"हरियाणा, दिल्ली, पंजाब "
3398,Citi Update
3399,"Dumka, India"
3400,Triplicane
3401," Lucknow Uttar Pradesh, India"
3402,Mumbai  
3403,Vellore
3404,"Perth, Western Australia"
3405,Scaling Mountains
3406,_ιи∂ια
3407,"MSP, SFO, INDIA"
3408,"India, Jaipur"
3409,Where bar & biriyani exists
3410,"C-126,Sector-2, Noida-201301"
3411,oddanchatram
3412,Dwarka
3413,यवतमाळ
3414,Many wonderful places
3415,Bhaaratvarsh
3416,U.P. Bhadohi India
3417,Brussels 
3418,PARIS
3419,Lost World
3420,narak
3421,Zirakpur Chandigarh India
3422,Thrissur
3423,भारत वर्ष
3424,"Vienna, Austria"
3425,Thane
3426,"Patiala, Punjab"
3427,"New delhi,india"
3428,"गोरखपुर, उत्तर प्रदेश "
3429,"Almora Uttarakhand, New Delhi"
3430,"Gorakhpur,Pune,Delhi"
3431,"Calcutta, India"
3432,"Vasai, Palghar,Maharashtra"
3433,"Chennai, Tamil Nadu, India"
3434,"New Delhi, Darbhanga"
3435,"Gurgaon,Haryana,India"
3436,Heart in the hills
3437,haryana
3438,utrakhand
3439,"ÜT: 19.075272,72.854772"
3440,Manchester
3441,jan kar kiya kroge 
3442,Area 51
3443,uttarakhand 
3444,"Silicon Valley, California"
3445,"Pune , India"
3446,"Mumbai & Ayodhya, India"
3447,Chd
3448,Block Chain
3449,"Bangalore,Swindon,Milwaukee"
3450,Bhayandar west
3451,"Kolkata,Hyderabad"
3452,indai
3453,"ÜT: 18.955478,72.798771"
3454,"Bhilwara, (Rajasthan).  Mumbai"
3455,"LUDHIANA, Delhi, CHANDIGARH"
3456,"Patna, India "
3457,Planet with people of IDIOTS
3458,Howrah India
3459,"Bhayander West, Mumbai"
3460,BIHAR (INDIA)
3461,"Beijing, New Delhi"
3462,München
3463,"नई दिल्ली, प्राचीन भारत india "
3464,"katihar,Bihar"
3465,Gotham City...Turin 
3466,Kashmir ➔ Delhi
3467,On the move: locate me on GPS
3468,"Rourkela, Odisha"
3469,"New Delhi, Gurgaon, India"
3470,"GURUGRAM, (NCR) INDIA"
3471,Mokam
3472,india delhi
3473,New Delhi/ Bangalore
3474,"Kolkata, Creative India"
3475,yahin kahin
3476,Kathmandu
3477,"Kota, Delhi"
3478,"Telangana, India"
3479,"kazipet,warangal,AP"
3480,Mexico DF.
3481,Undisclosed Location.
3482,India / Bihar
3483,"Green Bay, WI"
3484,"Punjabi Bagh, New Delhi"
3485,FromHome
3486,"Melbourne, Australia"
3487,"Vishakhapatnam, India"
3488,Leh Ladakh
3489,"San Francisco , California"
3490,"Kharghar, Navi Mumbai, Maharas"
3491,New Delhi/Haryana
3492,gorakhpur
3493,Mumbai..
3494,GURUGRAM
3495,The Sun.
3496,"Raichur, India"
3497,Beautiful Sunny California
3498,New Delhi - India
3499,All over the place
3500,"Delhi, India - Berlin, Germany"
3501,"ÜT: 12.953447,77.661933"
3502,"Bangkok, Thailand"
3503,Sarvatra! World is our family
3504,Bhiwani
3505,"Jamnagar, Gujarat (INDIA)"
